"ds","y"
"1874-09-19","23"
"1874-09-26","2"
"1874-09-26","22"
"1874-09-26","9"
"1874-09-26","2"
"1874-09-26","15"
"1874-10-03","20"
"1874-10-03","12"
"1874-10-03","17"
"1874-10-03","12"
"1874-10-03","24"
"1874-10-10","26"
"1874-10-10","4"
"1874-10-10","12"
"1874-10-10","15"
"1874-10-10","4"
"1874-10-17","7"
"1874-10-17","4"
"1874-10-17","6"
"1874-10-17","33"
"1874-10-17","1"
"1874-10-24","17"
"1874-10-24","2"
"1874-10-24","12"
"1874-10-24","30"
"1874-10-24","26"
"1874-10-31","33"
"1874-10-31","20"
"1874-10-31","38"
"1874-10-31","59"
"1874-10-31","4"
"1874-11-07","11"
"1874-11-07","20"
"1874-11-07","29"
"1874-11-07","69"
"1874-11-07","13"
"1874-11-14","1"
"1874-11-14","8"
"1874-11-14","7"
"1874-11-14","22"
"1874-11-14","18"
"1874-11-21","4"
"1874-11-21","35"
"1874-11-21","3"
"1874-11-21","38"
"1874-11-21","9"
"1874-11-28","3"
"1874-11-28","2"
"1874-11-28","14"
"1874-11-28","14"
"1874-11-28","7"
"1874-12-05","7"
"1874-12-05","5"
"1874-12-05","16"
"1874-12-05","15"
"1874-12-05","16"
"1874-12-12","10"
"1874-12-12","58"
"1874-12-12","14"
"1874-12-12","29"
"1874-12-12","10"
"1874-12-19","13"
"1874-12-19","2"
"1874-12-19","52"
"1874-12-19","6"
"1874-12-19","4"
"1874-12-26","30"
"1874-12-26","3"
"1874-12-26","15"
"1874-12-26","5"
"1874-12-26","29"
"1875-01-02","14"
"1875-01-02","1"
"1875-01-02","7"
"1875-01-02","33"
"1875-01-02","55"
"1875-01-09","42"
"1875-01-09","11"
"1875-01-09","18"
"1875-01-09","19"
"1875-01-09","22"
"1875-01-16","13"
"1875-01-16","28"
"1875-01-16","7"
"1875-01-16","44"
"1875-01-16","5"
"1875-01-23","13"
"1875-01-23","89"
"1875-01-23","1"
"1875-01-23","23"
"1875-01-23","6"
"1875-01-30","11"
"1875-01-30","25"
"1875-01-30","6"
"1875-01-30","54"
"1875-01-30","1"
"1875-02-06","6"
"1875-02-06","15"
"1875-02-06","22"
"1875-02-06","22"
"1875-02-06","29"
"1875-02-13","8"
"1875-02-13","17"
"1875-02-13","4"
